Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
90,Si desconfío será porque tengo motivos,Razonamiento emocional,,,,,,"Siento desconfianza, pero esto no implica necesariamente que tenga motivos. Voy a analizar si tengo pruebas para desconfiar o no.",,,,,
91,"No me he sentido feliz hoy con mi pareja, quizás ya no me gusta",Razonamiento emocional,,,,,,"No me he sentido feliz hoy con mi pareja, es normal tener altibajos y no sentirme siempre feliz. No significa que ya no me guste",,,,,
92,"Me siento triste desde hace días, ya nunca estaré bien",Razonamiento emocional,Catastrofismo,,,,,"Me siento triste desde hace días, pero el estado de ánimo va cambiando, no es permanente. Puedo volver a sentirme bien",,,,,
93,Cuando siento ansiedad puede suceder algo terrible,Razonamiento emocional,Catastrofismo,,,,,"Cuando siento ansiedad me parece que puede suceder algo terrible, pero realmente no va a suceder",,,,,
94,"Estás muy contenta hoy, seguro que tendrás un buen día",Razonamiento emocional,Adivinación,,,,,"Estás muy contenta hoy, verás todo lo que te pase de forma más positiva",,,,,
95,"si no estoy contenta estudiando, es porque he escogido mal la carrera",Razonamiento emocional,,,,,,"Este examen me agovia mucho, pero en todas las carreras hay examenes difíciles",,,,,
96,Si no estás motvado es porque no es tu trabajo ideal,Razonamiento emocional,,,,,,"Que no estés motivado no significa que no sea tu trabajo ideal. La motivación a veces fluctúa, puede intentar averiguar porqué te sientes así",,,,,
97,"Hace días que me siento sin ganas, ya nunca estaré bien",Razonamiento emocional,Catastrofismo,,,,,"Hace días que me siento sin ganas, pero puedo recuperarlas",,,,,
98,"No me ha hecho ilusión ir a cenar con mi pareja, quizás ya no me gusta como antes",Razonamiento emocional,,,,,,"No me ha hecho ilusión ir a cenar con mi pareja, pero esto no significa que ya no me guste. Quizás es porque hoy no tenía muy buen día",,,,,
99,"Me siento irritable hoy, algo me habrá molestado",Razonamiento emocional,,,,,,"Me siento irritable hoy, puede que algo me haya molestado, que no haya dormido bien, etc.",,,,,
100,"No noto que mi novio esté contento cuando me ve, creo que ya no me quiere",Razonamiento emocional,Leer la mente,,,,,"No noto que mi novio esté contento cuando me ve, pero quizás sea solo mi sensación. Puede preguntarle a él, a ver que me dice",,,,,
101,"Nada me pone contenta últimamente, seguro que tengo depresión",Razonamiento emocional,,,,,,"Nada me pone contenta últimamente, estoy pasando una mala época, pero eso no significa que tenga depresión",,,,,
102,"No siento que nadie reconozca lo que hago en esta casa, no me quieren",Razonamiento emocional,Leer la mente,,,,,"No siento que nadie reconozca lo que hago en esta casa. Podría decirles como me siento, para ver si así me lo muestran más",,,,,
103,"Si no me ha molestado que no me respondiera el mensaje, será que no me importa",Razonamiento emocional,,,,,,"Si no me ha molestado que no me respondiera el mensaje, no significa que no me importe. Puede ser que haya gestionado mejor mi emoción, por ejemplo.",,,,,
104,"No se preocupa por mi, así que no me quiere tanto como dice",Razonamiento emocional,Leer la mente,,,,,"No siento que se preocupe por mi, pero puede que me quiera. Quizás no me lo está demostrando de la mejor manera",,,,,
105,"No me divierte mi trabajo, debería dejarlo y dedicarme a otra cosa",Razonamiento emocional,Imperativos,,,,,"No me divierte mi trabajo, pero eso no es motivo suficiente para dejarlo. Es bastante normal que no me divierta, es trabajo, no tiempo de ocio",,,,,
106,Si no estas motivado con este trabajo es porque no te gusta el tema,Razonamiento emocional,,,,,,"Si no estas motivado con este trabajo puede que no te guste el tema, pero también puede ser por otros motivos. Quizás no te estás implicando suficiente, por ejemplo",,,,,
107,"Me siento nerviosa, la charla saldrá mal",Razonamiento emocional,Adivinación,,,,,"Me siento nerviosa, es una sensación desagradable pero la charla puede ir bien igualmente",,,,,
108,"Si no siento que me atrae en la primera cita, ya no me va a gustar por más citas que tenga",Razonamiento emocional,Adivinación,,,,,"Aunque sienta que no me atrae en la primera cita, puede que si le doy la oprtunidad de conocerlo más comience a gustarme",,,,,
109,No te sentirías traicionado si lo que te ha hecho estubiera bien,Razonamiento emocional,,,,,,"A veces parece que si te sientes traicionado es porque alguien ha hecho algo malo pero no necesariamente tiene que ser así. Por ejemplo, podemos sentirnos traicionados porque nos falta información, y una vez la tenemos, lo valoramos de forma distinta",,,,,
110,Si no puedo perdonarte será que no lo mereces,Razonamiento emocional,,,,,,"De momento no consigo perdonarte. Puede ser porque me ha afectado mucho, porque es demasiado reciente, etc.",,,,,
111,Si me siento inferior en mi trabajo será porque algun compañero me está tratando mal,Razonamiento emocional,,,,,,"Si me siento inferior en mi trabajo puede ser por muchos motivos. No me valoro lo suficiente, alguien me trata mal, etc. Tendré que averiguar qué me hace sentir así.",,,,,
112,"Siento que por mucho que me esfuerze nunca lograré resultados, así que debería parar de intentarlo",Razonamiento emocional,Imperativos,,,,,"Siento que por mucho que me esfuerze nunca lograré resultados, pero puede que mañana lo vea de otra forma. Vale la pena seguir intentándolo",,,,,
113,"Te veo triste, ¿tu pareja te ha hecho algo?",Razonamiento emocional,,,,,,"Te veo triste, ¿te ha pasado algo?",,,,,
114,"No parece que le haya  hecho demasiada ilusión verme, ¿estará enfadado?",Razonamiento emocional,,,,,,"No parece que le haya  hecho demasiada ilusión verme, pero puede que solo sea mi impresión. No creo que tenga motivos para pensar que se ha enfadado conmigo, solo por eso",,,,,
115,Hasta que no sienta que soy importante en esta empresa no habré logrado mi meta,Razonamiento emocional,,,,,,"A veces nos ponemos expectativas tan altas de como deberíamos sentirnos que nunca las alcanzamos. Puede que ya sea importante aunqué no me sienta así, y que realmente ya haya logrado mi meta",,,,,
116,"Si sento que no lo tengo todo bajo control, puede pasar algo terrible",Razonamiento emocional,Catastrofismo,,,,,"Me es desagradable la sensación de no tenerlo todo bajo control, pero no tiene porqué pasar nada malo",,,,,
117,"Hasta que no me quede tranquila revisando el trabajo de todos, no estaré segura de que esté bien hecho",Razonamiento emocional,,,,,,"Sería mejor que confiara en el trabajo de mis compañeros, y dejara de revisarlo hasta sentirme tranquila. No creo que me haga ningún bien hacer esto",,,,,
118,Si no me siento relajada entre toda esta gente es porque alguien puede hacerme daño,Razonamiento emocional,,,,,,Que no me sienta relajada entre toda esta gente no significa que me vayan a hacer daño,,,,,
119,Si no me relajo me dará un ataque al corazón,Razonamiento emocional,Catastrofismo,,,,,"Estoy nerviosa y noto como el corazón se acelera, pero no me va a dar un ataque al corazón ni me va a pasar nada malo. Voy a respirar  para relajarme un poco",,,,,
120,Si sigo preocupándome así me voy a poner enferma,Razonamiento emocional,Adivinación,,,,,"El preocuparme no va a hacer que me enferme. Aún así, me sentiría mejor si me relajara un poco",,,,,
121,Si me pongo nerviosa es porque no estoy preparada para hacer este trabajo,Razonamiento emocional,,,,,,Es normal ponerse nerviosa al empezar un trabajo. Pero poco a poco a medida que lo vaya haciendo voy a sentirme más relajada,,,,,
122,"Me siento muy sola aquí, si me voy a vivir a otro sitio encontraré amigos",Razonamiento emocional,Adivinación,,,,,"Me siento muy sola aquí, pero puede que irme a vivir a otro sitio no solucione el problema. Quizás aquí ya tengo amigos, aunque no lo sienta así ahora mismo",,,,,
123,"Me siento insegura en el trabajo, será porque no soy suficientemente buena",Razonamiento emocional,Etiquetado,,,,,"Es normal que me sienta insegura en el trabajo, sobretodo si aún no lo manejo bien. Si me hay cogido algo bueno habrán visto en mi",,,,,
124,"Hasta que no sienta que estoy preparada para hacer este trabajo, no debo empezar a hacerlo",Razonamiento emocional,Imperativos,,,,,"Aunque no me guste esta sensación, a medida que vaya haciendo el trabajo me voy a ir sintiendo más preparada y segura. Es mejor que vaya empezando ya",,,,,
125,Debo seguir repasando para el examen hasta que sienta que me lo sé perfectamente,Razonamiento emocional,Imperativos,,,,,"La inseguridad a veces nos lleva a no dejar de repasar, y nunca nos sentimos preparados del todo. Cuando ya haya dedicado tiempo suficiente al examen, me irá bien parar y descansar.",,,,,
126,"Si siento que algo puede salir mal, no debería hacerlo. Es demasiado peligroso.",Razonamiento emocional,,,,,,"Aunque sienta que algo puede salir mal, a veces es bueno hacerlo igualmente, si es importante para mí. A pesar de haber riesgo, el beneficio puede ser más grande",,,,,
127,Si no consigo perdonarle es porque soy mala persona,Razonamiento emocional,Etiquetado,,,,,"Puede que no lo consiga perdonar por muchos motivos. Quizás porque me ha hecho algo muy malo, porque es muy reciente, porque era inesperado... No tengo porqué ser una mala persona",,,,,
128,Hasta que no me sienta traquilo no voy a presentarme al examen de conducir. Sería un error.,Razonamiento emocional,,,,,,"Si no me presento al examen de conducir hasta que me sienta tranquilo, quizás no me presente nunca. Hay momentos en que es mejor aceptar que vamos a estar nerviosos, y hacerlo igualmente",,,,,
129,Si no le gusto a los demás no podré ser feliz,Razonamiento emocional,,,,,,"Es peligroso que mi felicidad dependa de si le gusto o no a los demás, porque facilmente puede afectarse. Sería mejor que dependiera de mí",,,,,
130,Si estoy triste mucho tiempo voy a quedarme así para siempre,Razonamiento emocional,,,,,,Aunque esté triste durante mucho tiempo puedo volver a estar bien. Los estados de ánimo son cambiantes,,,,,
131,"Si mis amigos no me ven feliz, se van a alejar de mí",Razonamiento emocional,Adivinación,,,,,"Si mis amigos no me ven feliz, puede que se preocupen. No tienen porqué alejarse de mí",,,,,
132,"Si me siento feliz, pasará algo malo que lo estropee",Razonamiento emocional,,,,,,"Me da la sensación de que cuando me he sentido feliz, siempre ha pasado algo malo que lo estropea. Pero seguramente no siempre haya sido así, lo pienso ahora porque me siento mal",,,,,
133,"Hasta que no me sienta confiado, no me va a salir bien",Razonamiento emocional,Adivinación,,,,,"Que me sienta confiado ayudará a que me salga bien, peró no será determinante. Además, a medida que practique más, me saldrá mejor y me sentiré más confiado. Todo interacciona",,,,,
134,"Hasta que no me sienta seguro de que me dira que si, no debería pedirle salir",Razonamiento emocional,Imperativos,,,,,"Hasta que no me sienta seguro de que me dira que si, no le pediré salir",,,,,
135,Si me he enfadado es porque tenía razón yo,Razonamiento emocional,,,,,,"Me he enfadado, y siento que es porque tenía razón yo, pero supongo que él tambien tenia parte de razón. Cuando me calme lo veré todo más claro.",,,,,
136,"Si no vas confiado al examen, vas a suspender",Razonamiento emocional,Adivinación,,,,,"Si no vas confiado al examen, vas a estar más nervioso, pero puedes aprobarlo igualmente",,,,,
137,"Esta película me ha emocionado, soy una persona muy sensible",Razonamiento emocional,,,,,,"Esta película me ha emocionado, pero como reacciono a una sola película no determina como soy. ",,,,,
138,"Si sigo emocionandome por todo, nadie me considerará una persona fuerte",Razonamiento emocional,,,,,,"Suelo emocionarme por muchas cosas  y aunque me emocione, sigo adelante. Se puede ser sensible y fuerte a la vez, ambas  cosas son buenas ",,,,,
139,"Me preocupa mucho que les pueda pasar algo a mis hijos, será que es probable que les pueda pasar algo malo",Razonamiento emocional,Adivinación,,,,,"Me preocupa que les pueda pasar algo a mis hijos, porque los quiero mucho y no quiero que les pase nada malo. Es normal sentirme así, no va a pasar nada malo",,,,,
140,"Me da mucho miedo, por lo que el peligro es real",Razonamiento emocional,,,,,,"Me da mucho miedo, pero solo es mi emoción. Puedo afrotarlo",,,,,
141,"Si no estás tan preocupado como yo, es que no te importa como a mí",Razonamiento emocional,,,,,,"Siento que yo estoy más preocupada que tu, y eso me hace pensar que me importa más. Pero realmente puede que te importe y lo muestres de manera distinta a mí",,,,,
142,"Mis amigos me han decepcionado, ya no podré confiar en nadie",Razonamiento emocional,Adivinación,,,,,"Mis amigos me han decepcionado, pero ha sido una ocasión puntual, no tiene porqué repetirse",,,,,
143,"Mi madre lleva tiempo muy triste. Creo que le va a pasar algo malo,",Razonamiento emocional,,,,,,"Mi madre lleva tiempo muy triste, pero la tristeza no es algo permanente, creo que se puede recuperar",,,,,
144,"Este chico me da miedo, seguro que es alguien peligroso",Razonamiento emocional,Etiquetado,,,,,"Este chico me da miedo, pero quizás es solo por mis prejuicios, no ha hecho nada malo",,,,,
145,"Si no me transmite confianza de primeras, ya no podremos ser amigos",Razonamiento emocional,,,,,,"Aunque no me transmita confianza de primeras, puede que si lo conozco más me caiga bien",,,,,
146,"No he visto a mis padres muy contentos cuando les he dado la noticia, no les importa lo que me pase",Razonamiento emocional,Leer la mente,,,,,"No he visto a mis padres muy contentos cuando les he dado la noticia, es posible que tuviera demasiadas expectatives sobre su reacción, intentaré intender por que han reaccionado asi",,,,,
147,"Si no me levanto contento, no voy a tener un buen día",Razonamiento emocional,Adivinación,,,,,"Si no me levanto contento, el día se me hará más díficil, pero siempre puede mejorar",,,,,
148,"No me siento enamorada cada día, quizás no sea mi chico ideal",Razonamiento emocional,,,,,,"No me siento enamorada cada día, aunque tampoco hay nada que sienta exactamente igual cada dia y no me preocupo, probablemente solo le esté dando demasiada importancia",,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
,Personalización,,,,,,,,,,,,
1,María se está riendo; seguro que es de mí.,Personalización,,,,,,No puedes saber de que se está riendo María si no se lo preguntas,Yo no tengo la culpa,,"El otro dia andando por la calle noté al pasar al lado de unos chicos, como estos se reían a carcajadas mientras susurreaban algo y volvían a reír, estoy segura de que se estaban ríendo de mi y comentando lo mal que voy vestida y la mala impresión que doy",,"El otro día andando por la calle noté como unos chicos se reían y susurraban algo, pensaba que hablavan de mi, pero realment no tengo evidencias suficientes para saberlo."
2,Mi jefe me ha dicho que todos los pacientes a cargo de un residente deberían ser examinados por un médico de la plantilla. Seguro que jefe no se fía de mi trabajo.,Personalización,,,,,,"Que tu jefe te esté informando de una nueva norma que está afectando a todos los residentes y no solo a ti, no es ninguna razon por la que pensar que no se fia de tí.","He estudiado mucho, no merecía suspender",,"Cuando estaba viendo la tele el otro día en casa, escuche como en la habitación de al lado mis padres estaban discutiendo mucho. En la conversación creí escuchar mi nombre, en ese momento supe que se habían peleado por mi culpa y que algo había hecho mal.",,"El otro día escuché a mis padres discutir y creí escuchar mi nombre, no tengo manera de saber porqué discutían ni si era o no mi culpa, pero es normal que hablen de mi."
3,¡Todo es por mi culpa!,Personalización,Sobregeneralización,,,,,"Aunque tengas la culpa de alguna cosa que haya sucedido, nada esta más lejos que pensar que eso se generaliza a todo","Se ha cancelado el vuelo, es culpa de la compañía aerea",,"Cuando he llegado al trabajo esta mañana me he sentido fatal, ya que mientras andaba por el pasillo camino a mi despacho he notado la mirada furtiva de Juan, seguro que pensaba en lo mal trabajadora que soy.",,"En el trabajo he notado como un compañero me miraba, podría hacerlo por muchos motivos, no debo pensar que la mirada implica un juicio negativo hacia mi."
4,Durante la presentación que he hecho creo que se han aburrido porque soy un pesado.,Personalización,Leer la mente,Etiquetado,,,,"No tienes pruebas para saber si se han aburrido o no, aunque hubiese sido asi no tiene ninguna asociacion con que seas un pesado","Estaban criticando a alguien esta mañana en el trabajo, seguro que no soy yo",,"Ayer me llamaron del colegio porque mi hijo Marcos se había metido en una pelea con un compañero y le habían expulsado. Soy una mala madre, si hubiese educado bien a mi hijo esto no habría sucedido.",,"Ayer me llamaron del colegio porque mi hijo se había metido en una pelea, ya es mayor para ser consciente de sus propios actos, no es mi culpa, he intentado educarle lo mejor que he podido"
5,Sé que se están riendo de mí,Personalización,Leer la mente,,,,,No tengo pruebas suficientes para demostrar eso,Nada de lo que ha sucedido es por mi culpa,,"Esta mañana durante el desayuno, estabamos toda la familia comiendo y mi padre se ha puesto serio y nos ha indicado la necesidad de que a partir de ahora deberíamos comer más sano. Estoy segura que lo estaba diciendo porque he subido de peso ultimamente y piensa que estoy gorda.",,"Esta mañana mi padre nos ha dicho que deberíamos comer más sano, seguro que lo ha dicho para el bienestar de toda la familia y no porque piense que yo lo necesito."
6,Creo que pongo nervioso a todo el mundo.,Personalización,,,,,,"Aunque haya pasado alguna vez, no puede ser que pase con todo el mundo","Mi compañero de trabajo me ha mirado esta mañana, seguro que le gusto",,"Este fin de semana mi pareja y yo hemos estado fuera de la ciudad, pasando unos días en el campo. Me ha dicho que se ha aburrido mucho, seguro que es porque ya no le gusto y le parezco aburrida.",,"Hemos ido a pasar el fin de semana fuera y mi pareja se ha aburrido, no tiene porque ser de mi, tal vez la actividad no le ha gustado."
7,"Mis padres están teniendo una discusión en otro cuarto. Cuando pronuncian mi nombre, piesno que se están discutiendo por mi culpa.",Personalización,,,,,,"Aunque aparezca en la discusión, mis padres se pelean a su voluntad, yo no tengo porque tener nada que ver","El proyecto no ha ido bien, no es mi culpa",,"Llevabamos con mi pareja saliendo 10 años, últimamente la relación parecía que no iba en buen camino, pero he hecho todo lo que he podido para que estemos bien. Aun así, hoy me ha dejado, es mi culpa, seguro que no he hecho suficiente.",,"Llevabamos tiempo mal con mi pareja y al final me ha dejado, no estabamos bien por muchas razones, no es mi culpa ni tengo la responsabilidad de que la relación haya terminado."
8,"Mi compañero de trabajo me ha mirado mal esta mañana, seguro que es porque le caigo mal.",Personalización,Leer la mente,,,,,"Hay muchas causas de porque alguien puede mirar mal en algun momento, no tiene porque ser que le caes mal",Seguro que no es mi culpa que ya no me hable más,,"Llevo dándole clases particulares a mi alumno durante meses, preparándole para el examen que tenía esta semana, finalmente no ha lograda aprobar, si le hubiera ayudado más esto no habrí pasado, me siento responsable.",,"Mi alumno no ha aprobado el examen aunque le he ayudado durante meses, no ha consegido aprobar, eso no quiere decir que no le haya ayudado bien o que sea mi culpa."
9,"Me han llamado del colegio porque mi hijo se ha portado mal, es mi culpa porque no le he educado bien,",Personalización,,,,,,"Si mi hijo se ha portado mal, no es por mi culpa, él actua con su propia voluntad","El proyecto ha ido genial, me han felicitado",,"Juan es mi amiga desde hace muchos años. Ayer me enteré que celebra su boda dentro de unos meses y no me ha invitado. Pensaba que le importaba más, seguro que ya no quiere que sea su amiga. ",,"Mi amigo Juan se casa en unos meses y no me ha invitado. Aunque me duela que no lo haya hecho, eso no implica que ya no quiere que sea su amiga."
10,"Mis amigos no me han llamado para quedar ultimamente, seguro que es porque ya no quieren seguir viéndome.",Personalización,,,,,,"Hay muchas razones por las que no te hayan llamado tus amigos, no tiene porque ser que ya no te quieren ver","Me estaban mirando los pantalones, seguro que es porque quiere unos iguales",,"Ayer en el comedor escuché como dos compañeras del trabajo comentaban por lo bajo como había alguien de la empresa que era un desastre y que hacía fatal su trabajo. En ese instante pensé que estaban hablando de mi, soy un desastre en el trabajo.",,"Escuche como unas compañeras crticaban a alguien del trabajo, no tengo ninguna razón para pensar que estubieran hablando de mi."
11,"Mi paciente  ha empeorado desde hace unas semanas, debe ser mi culpa, no le ha funcionado el tratamiento.",Personalización,,,,,,"Si mi paciente ha empeorado, puede ser por muchos factores","Me han ascendido en el trabajo, será que lo he hecho bien",,"Mientras estabamos cenando ayer, mi hija rompió un plato que se le resbaló y se cayó al suelo. Es mi culpa por no haberla estado vigilando mejor, como madre soy un auténtico desastre.",,"Mi hija ayer tuvo un accidente y rompió un plato, soc cosas que pueden pasar, no es culpa mía."
12,"Algo va mal, seguro que he sido yo.",Personalización,,,,,,"Que las cosas vayan mal, no tiene porque ser mi culpa","No me han llamado aún mis amigos, seguro que lo haran pronto",,"Estando en el parque con mi perro, apareció una señora mayor y mi perro empezó a correr, soltandose de la correa e hizo caer a la señora al suelo. No se controlar a mi perro, es mi culp apor no haber estado atenta y haber educado mejor a mi perro.",,"Ayer mi perro se me escapó de un tirón e hizo caer a una señora mayor en el parque, no estube atenta y se escapó, fue un accidente, no tengo porque culparme de ello."
13,"Mi pareja ha llegado a casa disgustada, seguro que he hecho algo mal.",Personalización,,,,,,Que tu pareja este disgustada puede ser por muchos motivos,"Me estaba mirando fijamente a los ojos, seguro que piensa que son bonitos",,"Hace meses que mi paciente está recibiendo terapia psicologica, a pesar de la dedicación e insistencia, no he conseguido que mejorara. Es mi culpa, soy una mala terapeuta, no he conseguido ninguna mejoría.",,"Mi paciente aunque hace meses que está haciendo terapia no consigo que mejore, a veces estas cosas suceden y no tiene porque ser culpa del terapeuta."
14,Cuando mis padres se divorciaron estuve seguro que fue por mi culpa,Personalización,,,,,,"Un divorcio se produce por un monton de causas, tu no has hecho nada mal para atribuirte esa culpa",A la gente le gusta hablar bien de mi,,"Esta mañana mientras esperaba el ascensor, mi vecino a pasado por mi lado sin mirarme y ni me ha saludado. Estoy segura que esa actitud es porque no le caigo bien y seguro que está molesto por alguna razón.",,"Mi vecino no me ha saludado esta mañana, no tengo motivos para pensar que esté molesto conmigo, tal vez simplemente no me ha visto."
15,"Este mes en el trabajo han bajado mucho las ventas, debería haber trabajado más y mejor.",Personalización,Imperativos,,,,,Si han bajado las ventas en el trabajo es debido a muchos factores a parte del tuyo,"Mi madre se ha enfermado, es su culpa por no ir con más cuidado",,"Cuando llegué a casa ayer por la noche, noté como en casa había un ambiente extraño, nadie hablaba, todo el mundo parecía enfadado. En ese momento pensé que algo malo habría hecho para que todos estubiesen molestos conmigo. ",,"Ayer al llegar a casa había un mal clima, no tengo ni idea de porque era, pero no tenia motivos para pensar que era por mi culpa."
16,"Hemos ido de vacaciones y no ha parado de llover, es mi culpa debería haberlo comprobado antes.",Personalización,Imperativos,,,,,La meteorología es una cosa incontrolable que a veces no podemos predecir,Todo el mundo se me ha quedado mirando,,"Esta mañana he recibido una llamada perdida de mi jefe, seguro que me ha llamado para informarme de que he hecho algo mal y quizás tal vez incluso para despedirme, no se haver bien mi  trabajo. ",,"He recibido una llamada perdida de mi jefe, desconozco el motivo por el que me ha llamado, no sirve de nada precipitarme y pensar en lo peor."
17,"Le ha tocado la lotería a todos los del trabajo, yo no compré el boleto, debería haberlo pensado. ",Personalización,Imperativos,,,,,A veces ocurren situaciones que no podemos predecir,No ha sido mi culpa que hayamos perdido,,La semana pasada me dijeron que la administrativa del centro había comentado que se habían producido unas quejas a un residente por parte de un paciente. Cuando me lo dijeron automaticamente pensé que había sido yo y que seguro que había hecho mal mi trabajo. ,,"Me comentaron que habían habido unas quejar a un residente por parte de un paciente, somos muchos residentes y no tiene porque haber sido la queja por mi. "
18,"Marta tiene mala cara, debe de estar enfadada conmigo",Personalización,,,,,,"Que Marta tenga mala cara, puede ser por muchas razones",Todo el mundo se pone nervioso,,"Cuando he salido a tomar un café esta mañana la camarera que siempre me sonría, tenía muy mala cara, seguro que está molesta conmigo por algo que le he hecho, soy un desastre. ",,"Esta mañana la camarera tenía mala cara, desconozco el porque pero no tengo razones para pensar que está molesta conmigo."
19,En el trabajo tenía la impresión de que cada vez que el encargado hablaba de que había que mejorar la calidad del trabajo se referían exclusivamente a mi,Personalización,,,,,,"Cuando hacen referencia a que hay que mejorar el trabajo, no me lo dicen solo a mi",Mis padres estan hablando de mi en otra habitación,,"Ayer al salir de trabajar, en el metro me abrieron la mochila y me robaron la cartera. Soy un desastre, si hubiese ido con más cuidado seguro que no hubiesen robado, es mi culpa.",,"Ayer me robaron la cartera en el metro, aunque hubiese ido con más cuidado seguramente hubiese pasado igual."
20,"Cuando escuchaba a mi marido quejarse de lo aburrido del fin de semana, pensaba; seguro que piensa que soy aburrida",Personalización,,,,,,"Que tu marido se haya aburrido el fin de semana, no indica que haya debido de ser por tu culpa",Hay pocas cosas que me hagan reír,,"Hace semanas que en el trabajo hay rumores de que van a despedir a alguien por despido improcedente. No dejo de pensar que ese alguien voy a ser yo, no soy suficientemente buena en mi trabajo, podría hacer las cosas mejor. ",,"Hay rumores de que van a hechar a alguien en el trabajo, aunque tenga miedo de ser yo, no tengo prubas de eso. "
21,Cuando le he pedido a Anna para hacer un café y me ha dicho que no seguro que es poque soy un pringado,Personalización,,,,,,Que Anna te haya dicho que no puede hacer un cafe puede ser por muchos motivos,"Llego tarde, seguro que me estan esperando",,"He salido muy tarde del trabajo y he llegado tarde a clase de pilates, cuando he llegado todos me estaban mirando, seguro que estaban molestos conmigo por haber llegado tarde y pensaban mal de mi. ",,"He llegado tarde a la clase de pilates y todos se me han quedado mirando, aunque les haya podido molestar no creo que piensen mal de mi."
22,"El ordenador no funciona, algo habré tocado y lo he roto.",Personalización,,,,,,Puede ser que el ordenador haya fallado por otro factor que no seas tu,He hecho bien el papel porque soy muy emocional,,,,
23,"Cuando mi padre ha dicho que teniamos que comer mejor, seguro que lo ha dicho porque ha notado que me he engordado.",Personalización,,,,,,"Seguro que te ha dicho eso porque quiere cuidar de la familia, nada indica que piense otra cosa",Me olvidé de comprar las entradas por mi culpa no hemos podido ir al concierto,,,,
24,Cuando voy la calle y la gente me mira siento que me estan juzgando,Personalización,,,,,,"Sentirnos observados a veces es normal, eso no indica que nos esten juzgando",Soy muy ordenado,,,,
25,"No he conseguido marcar un gol en todo el partido, hemos perdido por mi culpa.",Personalización,Abstracción selectiva,,,,,No puedes atribuirte a ti toda la culpa,No había café esta mañana seguro que me tomé el ultimo ayer,,,,
26,"La gente del trabajo me evitan, soy un mal trabajador.",Personalización,,,,,,No tengo pruebas suficientes para demostrar eso,"María se está riendo, seguro que no es de mi",,,,
27,"Mi novia me ha dejado, es mi culpa seguro que he hecho algo mal.",Personalización,,,,,,Si tu novia ha finalizado la relación puede haber sido por muchos motivos,"Durante la presentación parecían muy aburridos, seguro que no era mi culpa",,,,
28,"Juan habla siempre con mucha gente, seguro que es más sociable que yo.",Personalización,,,,,,Que Juan hable con más gente no implica que sea más sociable,"Mi compañero me ha mirado mal, yo no le he hecho nada",,,,
29,"Se ha cruzado una moto delante de mi y hemos tenido un accidente, es mi culpa debería haberlo visto.",Personalización,,,,,,"El accidente no solo ha sido por tu culpa, se ha de analizar bien la situación",Mi compañero me ha mirado con aprobación,,,,
30,"El proyecto ha fracasado, seguro que podría haber hecho más.",Personalización,,,,,,Si el proyecto no ha salido bien no ha sido solo por mi culpa,"Si algo va mal, seguro que no ha sido por mi culpa",,,,
31,"Mi sobrina se ha puesto a llorar, que mal canguro soy que llora por mi culpa. ",Personalización,,,,,,Si mi sobrina se ha puesto a llorar no tiene porque ser por mi culpa,Nadie tiene la culpa de que esto haya salido mal,,,,
32,"No quedan entradas para el concierto, debería haber sido más rápido. ",Personalización,,,,,,Puede ser que aunque hubiese ido más rápido tampoco quedaran entradas,A mí no me gusta sentirme observado,,,,
33,"Estoy viejo y solo, debería haber aprovechado más mi vida.",Personalización,,,,,,Que ahora me sienta solo no implica que no haya aprovechado la vida,Mi pareja me ha dicho lo mucho que me quiere,,,,
34,"Me siento muy solo, será porque nadie me quiere. ",Personalización,,,,,,Que me sienta solo no quiere decir que nadie me quiera,Antonio tiene mala cara esta tarde,,,,
35,"Mi alumo no ha conseguido aprobar el examen de inglés es por mi culpa, no soy suficienemente buena profesora.",Personalización,,,,,,Si mi alumno no ha aprobado puede haber sido porque no ha estudiado suficiente,Me han dicho para ir a tomar un café,,,,
36,"Noelia no me habla, no entiendo que es lo que he hecho mal, pero algo habré hecho.",Personalización,,,,,,Que Noelia no me hable no quiere decir que haya hecho algo mal,Mi novio me ha invitado a salir,,,,
37,"No consigo entender el libro, debería haber estudidado antes.",Personalización,,,,,,"Aunque hubiese estudiado antes, tal vez tampoco lograría entenderlo",Se estaban riendo del programa de televisión,,,,
38,"Mi vuelo se ha cancelado, debería haberlo previsto.",Personalización,,,,,,No había manera de preveer que el vuelo se cancelaría,El otro dia el jefe me comentó que estaba muy contento conmigo,,,,
39,"Marcos me ha contestado mal, no soy suficiente para él.",Personalización,,,,,,"No me merezco que me contesten mal, eso no quiere decir que no sea suficiente",Me siento muy bien ultimamente,,,,
40,"Mi madre se ha puesto enferma, no debería haberla dejado salir a la calle.",Personalización,,,,,,Aunque mi madre no hubiese salido igual hubiera enfermado de todos modos,Su sobrina se ha puesto a llorar y no la culpo,,,,
41,"Mi hijo ha roto la vajilla, es mi culpa debería haberlo educado mejor.",Personalización,,,,,,Que mi hijo haya roto la vajilla no implica que no lo haya educado bien,He comprado unas entradas para ir al cine,,,,
